公会名,未出刀人数,Unnamed: 2,rank,point
蓮すきすきクラブ,27.0,,1,1.8707815895896362e+17
Mix鮭の空!!,22.0,,2,1.7020288248197715e+17
蓮ノ空愛好会,16.0,,3,1.6625910173894624e+17
スリスリーズ,22.0,,4,1.549407426899046e+17
乙宗動物園,18.0,,5,1.4436293010134122e+17
スクステ同好会,14.0,,6,1.4224633534186048e+17
村村会,17.0,,7,1.4191637385980886e+17
蓮ノ大三十角,19.0,,8,1.3911173989004205e+17
星見プロ,16.0,,9,1.3659767875534886e+17
ルドベキア,16.0,,10,1.3438703913687314e+17
花帆ちゃん親衛隊,15.0,,11,1.2390742550931077e+17
きんぴられんこん,12.0,,12,1.2232120654802728e+17
乙宗梢大好き部,18.0,,13,1.1699085547144384e+17
LA.LA.LA,8.0,,14,1.1546825159500144e+17
金沢おでん同好会,13.0,,15,1.1291947702991128e+17
サークル名募集中,18.0,,16,1.0979669633230906e+17
リンクラ料理部,25.0,,17,1.0926686476527835e+17
泥,20.0,,18,1.0694293779158894e+17
かほすこ同好会,15.0,,19,9.651929024249771e+16
さすさやクラブ,20.0,,20,9.614224923420886e+16
WMW,19.0,,21,9.009228760949109e+16
おんゆあさーくる,25.0,,22,8.259900997580546e+16
めぐ党藤島派,17.0,,23,8.093758665894283e+16
わたくしは大丈部,15.0,,24,8.072979924839651e+16
徒町チャレンジ！,20.0,,25,7.966200906628677e+16
乙宗梢なりきり部,14.0,,26,7.950271174430411e+16
まったり,40.0,,27,7.589811980868326e+16
ぷちぐる同好会,14.0,,28,7.511215116151131e+16
蓮ノ空推し活部,21.0,,29,7.416844298167632e+16
蓮ノ空出張部,18.0,,30,7.318064146210326e+16
蓮之愛同予者何人,21.0,,31,7.108975748000785e+16
シュリーレン,15.0,,32,6.958973909524316e+16
蓮ノ空魔術部,17.0,,33,6.729667659948097e+16
みらくらは人生！,20.0,,34,6.595101804151791e+16
くる♡すきクラブ,17.0,,35,6.304849541134155e+16
花帆推し倶楽部,13.0,,36,6.145319338140928e+16
YUKIZURI,20.0,,37,5.9314402206953176e+16
百合ノ空観察部,19.0,,38,5.8930910107943736e+16
ラー麺二郎金沢店,19.0,,39,5.810126042846613e+16
FPS好きクラブ,20.0,,40,5.7813229761824744e+16
蓮ノ空FC,15.0,,41,5.554821952710914e+16
ルリと愉快な一家,17.0,,42,5.540820250616993e+16
蓮ノ空を応援し隊,18.0,,43,5.531493946829115e+16
さやかほ癒し会,16.0,,44,5.288656717832694e+16
こずミックラブ♡,19.0,,45,5.239538399471693e+16
花咲かせ隊,23.0,,46,5.237999578730462e+16
乙宗気合筋肉,18.0,,47,5.1698701667712936e+16
梢好き好きクラブ,19.0,,48,5.109700239577757e+16
月火水木金土日,28.0,,49,4.998839552083528e+16
流し素麺同好会,18.0,,50,4.9497769353686e+16
LLD,21.0,,51,4.940070030666768e+16
梢すきすきクラブ,13.0,,52,4.800274243560747e+16
LLP,20.0,,53,4.764500092775026e+16
めぐ島,17.0,,54,4.72013743899083e+16
毎日がエブリデイ,20.0,,55,4.646240748191792e+16
毎日がホリデイ♪,19.0,,56,4.565567347030401e+16
なのだけれど,18.0,,57,4.558141820821483e+16
泥村,19.0,,58,4.5397643731918904e+16
蓮女お嬢様クラブ,17.0,,59,4.399931982354133e+16
蓮ノ空のお弁当屋,16.0,,60,4.3467186876126424e+16
乙宗紅茶館,20.0,,61,4.255064299034396e+16
「」ノ空だけれど,13.0,,62,4.217798500875452e+16
乙宗梢様､､､,15.0,,63,4.188423525620065e+16
ポチっと！蓮ノ空,19.0,,64,4.181531335654667e+16
ルリと花咲く毎日,22.0,,65,4.146228916315343e+16
無言でエンジョイ,20.0,,66,4.138661174059084e+16
カワウソ同好会,17.0,,67,4.08283680547024e+16
蓮ノ沼に沈んだ泥,20.0,,68,4.071083181410365e+16
r/LL,17.0,,69,4.0571870934238344e+16
蓮ノ空すこやか部,20.0,,70,3.9969530153351544e+16
ルリと喜ド！愛楽,15.0,,71,3.994056446988133e+16
蓮ノ空おじさん,14.0,,72,3.944507370991768e+16
スクステ同好会②,18.0,,73,3.8368632389468664e+16
かちまち応援隊,16.0,,74,3.817880134979748e+16
スクスタ亡霊部,16.0,,75,3.767178314672156e+16
幼馴染同好会,20.0,,76,3.658488161312181e+16
蓮天・乙宗一心流,16.0,,77,3.6438411838102856e+16
ぱちぱち徒町,15.0,,78,3.628776629056953e+16
藤島め組,17.0,,79,3.606771031492789e+16
無言 ノルマなし,19.0,,80,3.599357672368765e+16
お嬢様筋トレ部,25.0,,81,3.526703254982998e+16
Aqours,34.0,,82,3.4958172057429188e+16
梢先輩おめでとう,19.0,,83,3.4804171604516628e+16
はすっこくらぶ,20.0,,84,3.4568971053078372e+16
無言でおけ,20.0,,85,3.4280720310371476e+16
蓮女マネージャー,19.0,,86,3.4118751303241624e+16
打ち返した流れ星,16.0,,87,3.3907839276200496e+16
アポロベイ海賊団,9.0,,88,3.3027758972434716e+16
良いチケで観よう,15.0,,89,3.273862500965548e+16
花咲く泥も好き²,20.0,,90,3.269393758135311e+16
蓮ノ空マタギ部,16.0,,91,3.2657279531695576e+16
相談室目指し隊,18.0,,92,3.2089153157267504e+16
楽園計画,15.0,,93,3.20596089870624e+16
はすっこ準備室,15.0,,94,3.1625065895541828e+16
異次元シャニP,16.0,,95,3.146251214449329e+16
"oNM,",10.0,,96,3.141866633544396e+16
MUGEN∞,15.0,,97,3.1170137638825296e+16
後方腕組みオタク,17.0,,98,3.0537883593763864e+16
僕らのリンクラ！,20.0,,99,3.040372247268552e+16
サークル2,15.0,,100,3.0266834544295364e+16
泥民館,20.0,,101,2.9946532027785836e+16
LGP,19.0,,102,2.9829185424319316e+16
蓮ノ空のんびり部,19.0,,103,2.908518968378591e+16
ふらわーすきすき,17.0,,104,2.886911796487127e+16
ルリめぐ,13.0,,105,2.675493635934511e+16
【無言】ハスノソ,13.0,,106,2.613823330695964e+16
ド！ド！泥！,15.0,,107,2.610315593277071e+16
ぽけもん好き,14.0,,108,2.594122935513096e+16
ぽかぽかモガの村,14.0,,109,2.5359397434399776e+16
箱推しなのだけど,15.0,,110,2.440764277458063e+16
綴理メイト,15.0,,111,2.3644430769765976e+16
花咲くラブライ部,21.0,,112,2.3486773127528012e+16
アニマル分室,17.0,,113,2.343789236268953e+16
めぐすきクラブ,15.0,,114,2.32112451734584e+16
騎空団蓮ノ空支部,21.0,,115,2.3023108029440056e+16
ねるねる同好会,15.0,,116,2.2995406737403716e+16
いつでも咲けるよ,22.0,,117,2.2711147299922136e+16
藤島幼稚園蓮組,19.0,,118,2.2154795019025744e+16
思想の溜まり場,10.0,,119,2.212670184238835e+16
ラナンキュラス,16.0,,120,2.2004009086328156e+16
はすのひよこ,12.0,,121,2.1898946329912764e+16
猫＆旅大好き部,14.0,,122,2.1682243286559892e+16
レンクウ,24.0,,123,2.163071173150441e+16
百生銀行,18.0,,124,2.1618898687554004e+16
とろぺりです,4.0,,125,2.158373035108303e+16
さや綴理の村人,17.0,,126,2.146722063558265e+16
LLすこ部　メ募,16.0,,127,2.1232820593501624e+16
空き時間らくがき,14.0,,128,2.0842902658772124e+16
泥のみんなS,15.0,,129,2.079867673859268e+16
TKG同好会,13.0,,130,2.0791108213246564e+16
蓮ちゅきクラブ,16.0,,131,2.000177006648865e+16
泥の皆様,14.0,,132,1.9624046556246544e+16
蓮女お嬢様部,19.0,,133,1.9563578398432252e+16
まったりハスら～,16.0,,134,1.941001909065697e+16
さやかほ花卉園,11.0,,135,1.8894846454068716e+16
LLすこすこ部,17.0,,136,1.888411225430369e+16
せーので！,20.0,,137,1.8492634451378372e+16
蓮ノ空大好き!!,16.0,,138,1.8346617731103492e+16
待機室跡地観測所,22.0,,139,1.8250714209464004e+16
のんびり屋さん,14.0,,140,1.8102914710940344e+16
蓮ノ空文芸部,23.0,,141,1.800633854137241e+16
旅人,16.0,,142,1.7554941802196598e+16
天悶部,18.0,,143,1.7200756116488004e+16
蓮好き皆あつまれ,20.0,,144,1.7150659187102594e+16
蓮っ子みらくラブ,22.0,,145,1.7033572927229638e+16
さやさやさーくる,13.0,,146,1.6748683084888836e+16
ドル家の『D』,17.0,,147,1.6671231336084898e+16
蓮ノ空山岡家部,3.0,,148,1.645692557352786e+16
人見知りの集い,14.0,,149,1.6316193165560728e+16
蓮ちゃん初心者,8.0,,150,1.6229499989448828e+16
ド!ド!同好会,18.0,,151,1.608415554451974e+16
蓮ノ空飲酒クラブ,20.0,,152,1.6066814416449316e+16
蓮ノ空遊戯開発部,16.0,,153,1.5991481139930512e+16
ふくふく無言OK,15.0,,154,1.5742337702259424e+16
蓮ノ空ひとり旅部,14.0,,155,1.5451856290036848e+16
Quatuor,20.0,,156,1.5413989897470728e+16
乙宗梢親衛隊,18.0,,157,1.5401312929039998e+16
蓮之空大三腳,18.0,,158,1.5232841386843606e+16
ひめぎん文化会館,10.0,,159,1.5231462436126862e+16
蓮好き好きクラブ,26.0,,160,1.5220871860122204e+16
喫茶カワウ空✨,22.0,,161,1.5006738967998316e+16
蓮ノ空老人会,17.0,,162,1.4918394674822866e+16
蓮ノ空　茨城分校,17.0,,163,1.4822365183762768e+16
ラブライバーの森,5.0,,164,1.4773122468984576e+16
かほかほ,11.0,,165,1.4751605464059664e+16
まるまるサークル,23.0,,166,1.4740331673315276e+16
慈と愉快な仲間達,6.0,,167,1.4732679791518042e+16
無言な異次元部屋,16.0,,168,1.4692851134010296e+16
PPIHクラブ,15.0,,169,1.4499792569472544e+16
蓮っ子,18.0,,170,1.4265660692416148e+16
蓮っ子村,15.0,,171,1.4037989932269296e+16
こな党,17.0,,172,1.4030819774540612e+16
みらぱ進路相談列,15.0,,173,1.3956240022433252e+16
かほ子のイオン,16.0,,174,1.3876661589022644e+16
アフター観たいぞ,15.0,,175,1.3445761385714792e+16
なす料理研究会,19.0,,176,1.3403959347282228e+16
オーバーブースト,12.0,,177,1.3323791065298192e+16
梢花帆吟子同好会,13.0,,178,1.332094920299258e+16
♬さやか愛好会♬,14.0,,179,1.3118552724528944e+16
圧倒的にまったり,17.0,,180,1.2378827740345712e+16
蓮ノ空の泥人会,17.0,,181,1.2332133653086646e+16
蓮ノ空お茶会部,22.0,,182,1.2097330457733692e+16
蓮ノ空雪野球部,21.0,,183,1.1972856700552318e+16
元カノ概念強火派,13.0,,184,1.1933423071748012e+16
梢先輩のASMR,10.0,,185,1.1888474577128236e+16
花上梢頭,13.0,,186,1.1836339046845908e+16
同じ話し何回も…,11.0,,187,1.1815289189657544e+16
ご自由にどうぞ,40.0,,188,1.1776739494903182e+16
ライグラ待機室,11.0,,189,1.1773765470548624e+16
目が霞む人達,19.0,,190,1.1727714735991056e+16
どんぐり共和国,15.0,,191,1.1640974167947652e+16
蓮っ子CLUB,21.0,,192,1.1577042385327046e+16
沙知先輩大好き部,13.0,,193,1.1551459073569476e+16
あなたなら大丈部,16.0,,194,1.1503742478815176e+16
りんくらぶ,13.0,,195,1.1406690512977642e+16
おこめ茶寮,11.0,,196,1.1263710468765616e+16
新鮮館,14.0,,197,1.1179580126247614e+16
LOVEミラクラ,11.0,,198,1.1108100269937648e+16
小蓮花（重生版x,15.0,,199,1.1052729200963756e+16
フラワーガーデン,17.0,,200,1.0960001943018508e+16
見晴台,19.0,,201,1.085140816725006e+16
蓮hkg香港分部,14.0,,202,1.0738637710201738e+16
蓮ノ空園芸部,13.0,,203,1.0723985734812128e+16
かにかに！,14.0,,204,1.0591552640405508e+16
蓮隠れノ里,17.0,,205,1.055314043032593e+16
徒町は強く生きる,10.0,,206,1.0353970443634008e+16
ラ！推し,18.0,,207,1.0273166873881392e+16
ENcircle,6.0,,208,1.0173717226414708e+16
フラワー泥民館,19.0,,209,1.0038170212133988e+16
BBF 金沢支社,15.0,,210,9721052113374476.0
アルストロメリア,20.0,,211,9717127597690402.0
繚乱！蓮ノ空,10.0,,212,9649205124495178.0
なければ立てる！,15.0,,213,9587135228509516.0
LotuSky,31.0,,214,9463315545419896.0
無言で自由,20.0,,215,9387499590982124.0
無言OKクラブ,19.0,,216,9224320838516274.0
スリーマーメイド,16.0,,217,9092357948547622.0
ごはん派！！！,14.0,,218,8954237840211538.0
めぐ党,26.0,,219,8842644112119213.0
1限目に遅刻ラブ,11.0,,220,8724415887517546.0
つよつよなLH,12.0,,221,8692639792504104.0
さやちゃん倶楽部,20.0,,222,8669155795641858.0
卍蓮村幼稚園卍,14.0,,223,8638924071663626.0
かほさやてぇてぇ,10.0,,224,8534488502629986.0
ラ研連合,13.0,,225,8522041330031408.0
休暇建設協会,5.0,,226,8501555051852693.0
せーはす愛好会,13.0,,227,8396326070485719.0
蓮ノ空ボドゲ部,2.0,,228,8303329814952777.0
みんはや蓮ノ空部,11.0,,229,8236825397733786.0
ぱかぱか同好会,17.0,,230,8224190787546311.0
ささやか村の集い,19.0,,231,8211842493790778.0
アイスランド蓮,12.0,,232,8174298578122590.0
日曜日よりの使者,15.0,,233,8165642432695235.0
蓮ノ空見守り隊,19.0,,234,8121092415806622.0
BWO,10.0,,235,8112965242086816.0
瑠璃乃推し隊,12.0,,236,8095096944890094.0
木星の月華富輝宮,11.0,,237,8084458214913723.0
蓮好きの巣窟,12.0,,238,8066821012795325.0
ゆめみづほ,1.0,,239,7944722626933180.0
蓮ノ空うどん部,15.0,,240,7850601551599067.0
菅沼千紗が大好き,4.0,,241,7764982998939604.0
とりあえず参戦用,22.0,,242,7750941960681229.0
綴理と無言で昼寝,17.0,,243,7716921349561306.0
料亭「さち処」,10.0,,244,7699333145641785.0
瑞蓮ラボ,4.0,,245,7694146068496189.0
アフターウォール,16.0,,246,7617610843062374.0
闇のルビィ団,6.0,,247,7577412036326659.0
卍愛蓮説卍,21.0,,248,7558860322113480.0
ほうき星,20.0,,249,7557781294110625.0
蓮ノ空写真部,6.0,,250,7501024317040561.0
県立沢庵図書館,8.0,,251,7450865525419418.0
ヨーロッパ軒,4.0,,252,7405226540942286.0
ハロめぐ同盟,16.0,,253,7317356502375446.0
蓮ノ空を推す会,10.0,,254,7306248986491859.0
綴理のお世話係,12.0,,255,7276242580816207.0
ぼっちざ蓮!!,21.0,,256,7272292244720154.0
蓮ノ空は明日ノ空,13.0,,257,7207812992695582.0
山本組,8.0,,258,7204117869606883.0
スクステ初心者,9.0,,259,7172115050129505.0
故に瑠璃乃推し,11.0,,260,7168830132967538.0
はんぺん同好会,6.0,,261,7101392297770098.0
蓮の空見守り隊,15.0,,262,7092736451900846.0
蓮ノ空まったり部,30.0,,263,7074665844483846.0
蓮の空中國分校,12.0,,264,7056022036872332.0
となりにこな,1.0,,265,7048623363505896.0
聖ミリオン女学園,9.0,,266,7023790394442075.0
イベントのみ,12.0,,267,7021340168069490.0
ネギトロTKG,15.0,,268,7017662574097035.0
Nymphaea,9.0,,269,7017258688577441.0
さやの御御足,0.0,,270,6921043235667300.0
金沢の泥,3.0,,271,6903906473353870.0
いな民リンクラ部,19.0,,272,6881393572574426.0
こじらせ部,3.0,,273,6812927933444630.0
蓮好き,12.0,,274,6786038677857659.0
全日本謝罪同好会,11.0,,275,6754628871418345.0
ガンフィンガー村,5.0,,276,6718824683484004.0
蓮ノ空ロボット部,9.0,,277,6710244316223096.0
東京公演で沼落ち,19.0,,278,6662787860743635.0
どんぐり。,8.0,,279,6596998650854087.0
チーム初心者,13.0,,280,6596962442021299.0
蓮ノ流星群,16.0,,281,6579158481233828.0
頑張らないクラブ,18.0,,282,6575521484730528.0
初心者無言自由だ,20.0,,283,6542550902551948.0
♪さやか愛好会♪,12.0,,284,6531049622683429.0
お試し用サークル,17.0,,285,6502162251939880.0
めぐ党虹ヶ咲支部,15.0,,286,6431673522414242.0
サークル(仮),13.0,,287,6415593862106664.0
ノーチャン会,6.0,,288,6411429975870502.0
梢先輩応援団,15.0,,289,6392157017843090.0
めぐめぐバブり隊,9.0,,290,6386324009847623.0
きらくに,12.0,,291,6355332159315850.0
ソロプレイヤーズ,12.0,,292,6306077504943436.0
いちじょ海賊団,13.0,,293,6280731853541808.0
壁の民の伝説,13.0,,294,6232168064556280.0
UR報酬欲しい！,17.0,,295,6220052769126367.0
丘側,12.0,,296,6214901814786340.0
花の壁飾りクラブ,19.0,,297,6119214656867319.0
姫芽ちゃん親衛隊,15.0,,298,6111616999427135.0
無言でのんびり,12.0,,299,6037069566978159.0
巣〜極楽〜,1.0,,300,6032875160658039.0
蓮浦の星空,17.0,,301,5997867001185651.0
みらくらぽーく！,14.0,,302,5994690935293359.0
こずかほ。,14.0,,303,5992411900838582.0
ﾊｽﾉｿﾗｰ,16.0,,304,5953446992455140.0
UOは合法同好会,8.0,,305,5885841274154529.0
蓮を咲かせる泥達,14.0,,306,5873972642614529.0
綴理、愛,7.0,,307,5847496346696056.0
梢の機械さん,11.0,,308,5828210147827212.0
†極最強倶楽部†,14.0,,309,5803151077008154.0
安土桃山時代,4.0,,310,5769869273110828.0
ゆったりプレイ,12.0,,311,5760622245445338.0
蓮ノ空北國金沢校,17.0,,312,5726589539787960.0
e+本社ヲ爆破ス,13.0,,313,5722735810358663.0
みらくら自習室,11.0,,314,5699405589101691.0
REAL,14.0,,315,5696556700895776.0
ハルカカナタ,12.0,,316,5650425218009503.0
いろいろ実況,15.0,,317,5607344304125873.0
雪月花,18.0,,318,5473513250094973.0
ういのま,20.0,,319,5464819401101758.0
あばうといち,15.0,,320,5427527906384785.0
蓮結ぶ虹と星の音,16.0,,321,5402879176913890.0
蓮ノ空SIFC,13.0,,322,5372475442111979.0
無言の泥,5.0,,323,5369176893703471.0
蓮っ子の集い,7.0,,324,5311852072449064.0
LLP JR,13.0,,325,5304715462677996.0
スクステ同好会③,14.0,,326,5278616984709880.0
機械さん学部,12.0,,327,5258276565572230.0
無言参加○！,11.0,,328,5217366439804534.0
同好会の同好会,14.0,,329,5216460770189527.0
無言OK出入自由,7.0,,330,5209703698621350.0
イベント用、無言,10.0,,331,5159396596776132.0
無言ぱーく,12.0,,332,5131189632415289.0
蓮ノ空卓球部,0.0,,333,5112583294268518.0
氷青色,12.0,,334,5097694592684499.0
蓮ノ空好き好き会,19.0,,335,5091292273344045.0
AiRBLUE,5.0,,336,5066046965716805.0
ういちゅけクラブ,10.0,,337,4943536410761080.0
ららマジ難民の会,10.0,,338,4831193091169794.0
蓮ノ空応援クラブ,16.0,,339,4825638865302130.0
インドネシア仲間,15.0,,340,4817764567279645.0
こころのいろは,1.0,,341,4781909483781221.0
新規なのだけれど,13.0,,342,4736900059195492.0
SPHS-MMT,13.0,,343,4696498282319342.0
スリブ大好き♪,14.0,,344,4691265454972099.0
無言自由会,10.0,,345,4649453607518877.0
兎小屋ｼﾏﾘｽ部,1.0,,346,4648413786473370.0
ゆるっと蓮ノ空,9.0,,347,4634379859442481.0
わたし魚,4.0,,348,4632873727896831.0
蓮紺の会,6.0,,349,4611112619473321.0
蓮ノ空コーラス部,5.0,,350,4602759044828246.0
蓮ノ空好き好き,13.0,,351,4521473653738039.0
とりあえず,26.0,,352,4517481746086391.0
蓮ノ空倶楽部,15.0,,353,4503736673249055.0
無敵級ビリーバー,17.0,,354,4489682543663314.0
るりめぐ研究所,7.0,,355,4472996651896938.0
FES用,13.0,,356,4411140434079642.0
レンコンおいしい,11.0,,357,4390310788084341.0
零組,10.0,,358,4382766470459609.0
ポチッ！,8.0,,359,4323405560909838.0
せーはすの雑用係,6.0,,360,4269656426567602.0
安全バーは君の腕,14.0,,361,4231972844439408.0
らんるん部。,1.0,,362,4203729313494027.0
蓮っ子動物園,8.0,,363,4191771512860569.0
スワンプマン,5.0,,364,4159966448362303.0
つづさや好き過ぎ,13.0,,365,4157150813192786.0
のんちゅけ同好会,14.0,,366,4068331719067627.0
フンゲ開放戦線,1.0,,367,4036711186641259.0
Catlike,0.0,,368,4008190785677598.0
れんこん,11.0,,369,4005225662734546.0
蓮ノ空リボ課金部,8.0,,370,3988296893656284.0
梢ちゃん同好会,14.0,,371,3939040899031724.0
なっす父兄,11.0,,372,3918368111724969.0
なんもわからん,23.0,,373,3860270771838414.0
UR取り隊,16.0,,374,3857844828801126.0
素鴨のピクセル,2.0,,375,3848413027727606.0
黄昏の旅団,5.0,,376,3795537467676853.0
蓮ノ灯,14.0,,377,3774786606706439.0
エロマンガ同好会,15.0,,378,3774164600350322.0
HaCordVN,12.0,,379,3710869230709676.0
LG lotus,9.0,,380,3687650182800472.0
チーム本屋,3.0,,381,3680471333459046.0
異次元フェスP,13.0,,382,3676450638163693.0
さやこずノ休日,5.0,,383,3666669608514305.0
深夜の芋煮処,11.0,,384,3665598573933176.0
対抗戦用,12.0,,385,3650341790343210.0
蓮ノ空百合部,17.0,,386,3598813234417173.0
優しさや土までも,1.0,,387,3560166487696282.0
金箔ソフト,2.0,,388,3541242593562258.0
かよちんは宇宙,12.0,,389,3539932018318336.0
ハスラー,2.0,,390,3482397213474032.0
おやさいさん,10.0,,391,3474665287171056.0
泥の中の養分,16.0,,392,3467234291642504.0
『位置について』,8.0,,393,3424265103941946.0
TUAS,2.0,,394,3415442687650763.0
蓮之空小賣部,16.0,,395,3413572333041114.0
のんびり堂,12.0,,396,3382261456197221.0
蓮ノ空ラーメン部,13.0,,397,3365750189930808.0
中国の蓮之空圈子,10.0,,398,3359894626947007.0
個人用,4.0,,399,3329137315386931.0
新川地区ノ空,4.0,,400,3321867342178607.0
としとしサークル,18.0,,401,3321432505857723.0
スリブ好き好き,4.0,,402,3306462499827597.0
蓮根,0.0,,403,3306138994522725.0
参加賞狙い,11.0,,404,3283033763766819.0
アサルトガーデン,2.0,,405,3276035279845073.0
ポチっ！とクラブ,15.0,,406,3255931884690823.0
ユニット愛で隊,8.0,,407,3252258335512936.0
浄龍桐生会,1.0,,408,3251713300505872.0
LotusSky,15.0,,409,3220161231326339.0
インド蓮ノ空支部,0.0,,410,3211396995255271.0
蓮ノ空足湯同好会,15.0,,411,3197163987779370.0
孤独の村人,9.0,,412,3156126051954008.0
無言無課金ok,20.0,,413,3141711697034530.0
ハスノコ,2.0,,414,3121668309930244.0
サークルひとり,12.0,,415,3111306723390021.0
蓮の咲く池,5.0,,416,3078686421761317.0
蓮ノ空初心者部,14.0,,417,3029915153810834.0
箱推し社畜の部屋,6.0,,418,3021069183789314.0
のんびりプレイ,1.0,,419,3017710373103859.0
Rosa,2.0,,420,3014622146437859.0
いとまき団,1.0,,421,2995313271219426.0
福井大学ラ研,6.0,,422,2952227464962890.0
SIFcord,11.0,,423,2940119170174215.0
桜桃花束愛聴会,11.0,,424,2935090839890084.0
ハントンTKG,7.0,,425,2926808599004972.0
かほてぃあん,16.0,,426,2921848823193687.0
アフター見よう！,7.0,,427,2912798526869997.0
蓮ノ空休日クラブ,15.0,,428,2890983015636081.0
すりぃずぶぅ家,16.0,,429,2888354272143577.0
サークル無言,14.0,,430,2887915777288663.0
藤島メグミルク㈱,1.0,,431,2879501858159669.0
ソロ専の集い,16.0,,432,2867690881750635.0
Mulbungs,10.0,,433,2853065058709209.0
フォルテシモ,1.0,,434,2852256769095312.0
まったリンクラ,15.0,,435,2832083952435793.0
大ㄇㄚˊ露營區,14.0,,436,2822633962394777.0
光の海,15.0,,437,2795274435259775.0
京大百合文研,2.0,,438,2782364558232045.0
道立一限遅刻学院,3.0,,439,2773384027472842.0
Edelweiß,3.0,,440,2768918756503359.0
変なサークル,1.0,,441,2749616680374727.0
イベント用,19.0,,442,2742898003902412.0
蓮ノ空飲酒愛好会,2.0,,443,2732063951894486.0
くるくるくるー,2.0,,444,2701818097178228.0
いい顔でこんぶ,1.0,,445,2642334030218655.0
イベント用です,1.0,,446,2632856998163958.0
さやかほ緩々会,3.0,,447,2621438262671076.0
蓮ノ空新聞部,7.0,,448,2619691149871888.0
光を目指す者たち,3.0,,449,2617236499155469.0
コミュ障用誰でも,12.0,,450,2615041437145554.0
リシアンサス,10.0,,451,2594584242568025.0
Lotus329,4.0,,452,2584296696234854.0
ゆのくに天門,6.0,,453,2572987540087063.0
Wei,1.0,,454,2562377837509483.0
ボクがんばる。,3.0,,455,2561733083222872.0
蓮六園,14.0,,456,2560391301258273.0
ハントン✿ライス,14.0,,457,2533077467400015.0
ログイン勢,14.0,,458,2531797994926176.0
蓮箱推し（仮）,15.0,,459,2525824227650456.0
ねるねるねるね,4.0,,460,2517282485784501.0
